id;question;answer1;answer2;answer3;answer4;timeLife;correctAnswer
1;O que significa sustentabilidade?;Usar recursos sem esgotá-los;Usar sem limites;Evitar completamente o consumo;Apenas reciclar;30;1
2;Qual material é reciclável?;Plástico;Vidro;Metal;Todos os anteriores;30;4
3;Qual a maneira mais eficiente de economizar energia em casa?;Apagar as luzes quando sair do cômodo;Usar ar-condicionado o tempo todo;Deixar as luzes ligadas;Usar lâmpadas incandescentes;30;1
4;O que é consumo consciente?;Comprar tudo que está na promoção;Comprar apenas o necessário;Comprar produtos descartáveis;Comprar sem pensar;30;2
5;Qual bioma brasileiro é mais afetado pelo desmatamento?;Pantanal;Cerrado;Amazônia;Pampas;30;3
6;Qual é o impacto de não reciclar plástico?;Poluição dos oceanos;Nenhum;Aumento de árvores plantadas;Redução de gases poluentes;30;1
7;Qual é um exemplo de uso consciente de água?;Escovar os dentes com a torneira aberta;Usar mangueira para lavar calçadas;Tomar banhos rápidos;Lavar roupas várias vezes ao dia;30;3
8;Qual atividade ajuda a reduzir o desperdício alimentar?;Planejar as refeições;Comprar comida em grandes quantidades;Jogar fora os restos;Comprar fast food;30;1
9;Qual prática ajuda a preservar o meio ambiente?;Usar sacolas plásticas;Descartar tudo no lixo;Utilizar sacolas reutilizáveis;Usar produtos descartáveis;30;3
10;Como a reciclagem lúdica pode ajudar no aprendizado?;Ensinando sobre reutilização;Apenas diversão;Aumentando a quantidade de lixo;Trazendo novos brinquedos;30;1
11;O que podemos fazer para preservar o Cerrado?;Evitar o desperdício de alimentos;Usar eletrônicos o dia todo;Plantar árvores;Comprar produtos sem embalagem;30;1
12;O que o consumo sustentável promove?;Crescimento da poluição;Redução dos recursos;Preservação dos recursos naturais;Destruição dos ecossistemas;30;3
13;Qual ação é exemplo de reciclagem criativa?;Usar garrafas PET para brinquedos;Jogar fora tampas de garrafa;Comprar novos brinquedos;Evitar qualquer reciclagem;30;1
